Location,price_php_millions,Bedrooms,Bathrooms,Floor Area,Land Area,Town/Barangay,Municipality/City,Province/NCR
"San Juan - Laiya Rd. Calubcub II, San Juan",15.45,4.0,3.0,150.0,200.0,Calubcub II,San Juan,Batangas
"Camella Tarlac Access Rd. Maliwalo, Tarlac",7.41,2.0,1.0,36.0,205.0,Maliwalo,Tarlac City,Tarlac
"Tugbok, Davao",8.5,3.0,3.0,74.26,80.0,Tugbok,Davao City,Davao del Sur
"Calubcub II, San Juan",30.0,3.0,3.0,337.0,312.0,Calubcub II,San Juan,Batangas
"Camella Tarlac Access Rd. Maliwalo, Tarlac",8.23,4.0,3.0,85.0,121.0,Maliwalo,Tarlac City,Tarlac
"Pamplona Tres, Las Pinas",17.5,4.0,4.0,160.0,91.5,Pamplona Tres,Las Piñas,Metro Manila
"Cale, Tanauan",1.5,1.0,1.0,27.21,60.0,Cale,Tanauan City,Batangas
"Bugtong Na Pulo, Lipa",9.84,5.0,3.0,150.0,150.0,Bugtong na Pulo,Lipa City,Batangas
"Santa Maria-San Jose Rd. Bulac, Santa Maria",1.68,1.0,1.0,44.0,40.0,Bulac,Santa Maria,Bulacan
"Cupang, Antipolo",17.89,4.0,3.0,246.0,121.0,Cupang,Antipolo,Rizal
"Santa Monica, Quezon City",18.29,3.0,3.0,176.0,79.0,Santa Monica,Quezon City,Metro Manila
"Caysio Rd. Caysio, Santa Maria",5.18,3.0,2.0,75.26,80.0,Caysio,Santa Maria,Bulacan
"Aningway Sacatihan, Subic",6.25,3.0,2.0,66.0,118.0,Aningway Sacatihan,Subic,Zambales
"Almanza Dos, Las Pinas",18.0,4.0,3.0,382.0,192.0,Almanza Dos,Las Piñas,Metro Manila
"MacArthur Hwy Anonas, Urdaneta",5.44,2.0,2.0,53.0,96.0,Anonas,Urdaneta City,Pangasinan
"Camella Tarlac Access Rd. Maliwalo, Tarlac",6.35,3.0,2.0,66.0,104.0,Maliwalo,Tarlac City,Tarlac
"Bugtong Na Pulo, Lipa",7.37,3.0,2.0,103.0,132.0,Bugtong na Pulo,Lipa City,Batangas
"Talaga, Capas",3.19,,2.0,75.0,90.0,Talaga,Capas,Tarlac
"Eden, Mexico",6.31,5.0,3.0,107.0,141.0,Eden,Mexico,Pampanga
"Aningway Sacatihan, Subic",5.71,3.0,2.0,66.0,99.0,Aningway Sacatihan,Subic,Zambales
"San Sebastian, Kawit",6.65,3.0,2.0,84.0,120.0,San Sebastian,Kawit,Cavite
"Aningway Sacatihan, Subic",3.98,2.0,1.0,46.0,74.0,Aningway Sacatihan,Subic,Zambales
"Matandang Balara, Quezon City",110.0,12.0,12.0,1200.0,1000.0,Matandang Balara,Quezon City,Metro Manila
"Mercedes Ave, Pasig, 1600 Metro Manila 14.566745440863722, 121.09773643837426 San Miguel, Pasig",19.5,3.0,3.0,183.0,110.0,San Miguel,Pasig,Metro Manila
"Olive St, 1900 Cainta, Philippines San Juan, Cainta",18.0,6.0,4.0,244.0,158.0,San Andres,Cainta,Rizal
"21 Stirrup St., Rancho Estate 2 Subd., Cupang, Antipolo City Concepcion Dos, Marikina",10.9,5.0,3.0,180.0,120.0,Cupang,Marikina,Rizal
"Camella Tarlac Access Rd. Maliwalo, Tarlac",7.2,4.0,3.0,83.0,110.0,Maliwalo,Tarlac City,Tarlac
"Laguerta, Calamba",4.5,3.0,2.0,95.0,169.0,Laguerta,Calamba,Laguna
"San Vicente, Urdaneta",4.0,3.0,2.0,60.0,247.0,San Vicente,Urdaneta City,Pangasinan
"Dalig, Antipolo",13.25,3.0,2.0,60.0,121.0,Dalig,Antipolo,Rizal
"Anonas, Urdaneta",6.73,3.0,2.0,66.0,99.0,Anonas,Urdaneta City,Pangasinan
"Anonas, Urdaneta",8.12,4.0,3.0,83.0,121.0,Anonas,Urdaneta City,Pangasinan
"Malagasang I-C, Imus",2.69,2.0,1.0,50.0,60.0,Malagasang I-C,Imus,Cavite
"San Sebastian, Kawit",5.28,3.0,2.0,80.0,92.0,San Sebastian,Kawit,Cavite
"Tunasan, Muntinlupa",16.88,5.0,3.0,195.0,240.0,Tunasan,Muntinlupa,Metro Manila
"Anonas, Urdaneta",11.58,5.0,3.0,166.0,154.0,Anonas,Urdaneta City,Pangasinan
"Robredo Street San Isidro, Koronadal",10.79,5.0,3.0,166.0,143.0,San Isidro,Koronadal,South Cotabato
"Camella Tarlac Access Rd. Maliwalo, Tarlac",3.9,2.0,1.0,40.0,66.0,Maliwalo,Tarlac City,Tarlac
"Anonas, Urdaneta",6.73,3.0,2.0,66.0,99.0,Anonas,Urdaneta City,Pangasinan
"Valle Cruz, Cabanatuan",3.96,2.0,2.0,75.0,135.0,Valle Cruz,Cabanatuan City,Nueva Ecija
"Bayani Rd, 3023 San Jose del Monte, Philippines Tungkong Mangga, San Jose del Monte",5.3,3.0,1.0,102.0,63.0,Tungkong Mangga,San Jose del Monte,Bulacan
"Banawang, Malasiqui",2.25,2.0,1.0,56.0,54.0,Banawang,Malasiqui,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",6.08,3.0,2.0,66.0,121.0,Anonas,Urdaneta City,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",8.27,3.0,2.0,66.0,142.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",8.16,3.0,2.0,66.0,117.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",7.47,3.0,2.0,66.0,121.0,Anonas,Urdaneta City,Pangasinan
"San Vicente Rd. San Vicente, San Pedro",10.15,3.0,2.0,,150.0,San Vicente,San Pedro,Laguna
"MacArthur Hwy Anonas, Urdaneta",9.43,4.0,3.0,83.0,157.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",6.93,4.0,3.0,85.0,110.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",10.65,5.0,3.0,142.0,154.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",9.99,5.0,3.0,142.0,132.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",7.76,5.0,3.0,100.0,145.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",11.58,5.0,3.0,166.0,154.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",10.02,5.0,3.0,142.0,133.0,Anonas,Urdaneta,Pangasinan
"Pueblo Solana, Ciudad de Calamba Bubuyan, Calamba",1.74,1.0,1.0,29.16,70.0,Bubuyan,Calamba,Laguna
"MacArthur Hwy Anonas, Urdaneta",5.46,3.0,2.0,66.0,89.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",7.68,3.0,2.0,66.0,125.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",6.8,3.0,2.0,66.0,101.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",6.76,3.0,2.0,66.0,100.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",6.01,3.0,2.0,66.0,100.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",10.02,4.0,3.0,83.0,174.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",9.67,4.0,3.0,85.0,246.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",8.26,4.0,3.0,85.0,110.0,Anonas,Urdaneta City,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",7.82,4.0,3.0,85.0,99.0,Anonas,Urdaneta,Pangasinan
"Morong, Calabarzon, Philippines Morong",1.6,2.0,1.0,44.0,36.0,,Morong,Rizal
"MacArthur Hwy Anonas, Urdaneta",12.16,5.0,3.0,166.0,168.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",6.72,4.0,3.0,85.0,121.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",9.95,4.0,3.0,83.0,172.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",8.91,4.0,3.0,83.0,142.0,Anonas,Urdaneta City,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",8.5,4.0,3.0,83.0,130.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",10.05,5.0,3.0,100.0,246.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",7.62,3.0,2.0,66.0,110.0,Anonas,Urdaneta City,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",5.9,3.0,2.0,66.0,96.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",8.79,3.0,2.0,66.0,157.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",9.31,3.0,2.0,66.0,172.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",8.56,3.0,2.0,66.0,153.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",9.03,3.0,2.0,66.0,246.0,Anonas,Urdaneta City,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",4.22,2.0,1.0,46.0,56.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",8.88,4.0,3.0,83.0,141.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",4.95,2.0,1.0,46.0,63.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",13.46,5.0,3.0,166.0,174.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",10.37,5.0,3.0,142.0,143.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",11.94,5.0,3.0,142.0,157.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",9.37,4.0,3.0,83.0,158.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",8.12,4.0,3.0,83.0,121.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",7.86,3.0,2.0,66.0,130.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",6.73,3.0,2.0,66.0,99.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",8.2,3.0,2.0,66.0,140.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",11.29,5.0,3.0,142.0,143.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",11.48,5.0,3.0,166.0,174.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",10.99,5.0,3.0,142.0,161.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",8.85,4.0,3.0,83.0,140.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",8.33,4.0,3.0,83.0,125.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",5.0,2.0,1.0,46.0,63.0,Anonas,Urdaneta,Pangasinan
"Almanza Dos, Las Pinas",24.3,4.0,5.0,338.0,196.0,Almanza Dos,Las Piñas,Metro Manila
"Alabang, Muntinlupa",10.84,3.0,3.0,140.0,240.0,Alabang,Muntinlupa City,Metro Manila
"Canlubang, Calamba",6.8,2.0,1.0,52.0,130.0,Canlubang,Calamba,Laguna
"Sun Valley, Paranaque",19.5,4.0,4.0,250.0,430.0,Sun Valley,Parañaque,Metro Manila
"San Miguel Village, Makati",78.0,4.0,2.0,300.0,325.0,San Miguel Village,Makati City,Metro Manila
"San Roque, Antipolo",6.5,3.0,3.0,103.0,60.0,San Roque,Antipolo,Rizal
"CPG Avenue cor Katipunan Street Mansasa, Tagbilaran",40.0,10.0,8.0,,1574.0,Mansasa,Tagbilaran City,Bohol
"Neopolitan, Fairview, Quezon City Fairview, Quezon City",45.0,6.0,6.0,600.0,600.0,Fairview,Quezon City,Metro Manila
"Lingsat, Santa Maria",6.5,3.0,2.0,194.0,746.0,Lingsat,Santa Maria,Ilocos Sur
"Quiling, Talisay",69.0,3.0,4.0,370.0,807.0,Quiling,Talisay,Batangas
"Villagio di Xavier Prima Casa , Binan, Laguna Mampalasan, Binan",8.7,4.0,4.0,100.0,140.0,Mampalasan,Biñan,Laguna
"Afpovai, Western Bicutan, Taguig City Western Bicutan, Taguig",55.0,4.0,4.0,410.0,200.0,Western Bicutan,Taguig,Metro Manila
"Ayala Alabang, Muntinlupa",139.25,5.0,5.0,337.0,557.0,New Alabang Village,Muntinlupa,Metro Manila
"Villa Magallanes Subdivision Agus, Lapu Lapu City Agus, Lapu-Lapu",15.0,3.0,,280.0,150.0,Agus,Lapu-Lapu,Cebu
"Tali Beach Balagtas, Batangas City",200.0,5.0,5.0,700.0,804.0,Balagtas,Batangas City,Batangas
Calamba,30.0,4.0,4.0,302.0,250.0,,Calamba,Laguna
"Matandang Balara, Quezon City",85.0,4.0,5.0,474.0,448.0,Matandang Balara,Quezon City,Metro Manila
"Bel-Air, Makati",268.0,5.0,4.0,,665.0,Bel-Air,Makati City,Metro Manila
"Scout Area Diliman, Quezon City",35.53,3.0,4.0,201.0,104.0,Diliman,Quezon City,Metro Manila
"Halayhay, Tanza",4.03,3.0,2.0,55.0,80.0,Halayhay,Tanza,Cavite
"Zone 15, Talisay",19.5,4.0,5.0,400.0,352.0,Zone 15,Talisay,Negros Occidental
"Pulung Maragul, Angeles",11.0,3.0,2.0,,300.0,Pulung Maragul,Angeles,Pampanga
"Dalig, Antipolo",13.25,4.0,3.0,85.0,99.0,Dalig,Antipolo,Rizal
"Paliparan I, Dasmarinas",9.15,4.0,3.0,187.0,132.0,Paliparan I,Dasmariñas,Cavite
"Almanza Dos, Las Pinas",37.15,3.0,3.0,208.0,240.0,Almanza Dos,Las Piñas,Metro Manila
"Pilar, Las Pinas",9.8,3.0,3.0,180.0,120.0,Pilar,Las Piñas,Metro Manila
"Fluer De Lis Village Larion Alto, Tuguegarao",4.4,3.0,2.0,110.0,201.0,Larion Alto,Tuguegarao City,Cagayan
"Inchican, Silang",89.0,4.0,4.0,600.0,396.0,Inchican,Silang,Cavite
"Exclusive Subdivision near SM Telabastagan Telabastagan, San Fernando",16.9,5.0,4.0,315.0,240.0,BRGY,San Fernando,Pampanga
"Blk 1 Lot 20 Sentrina Alaminos Brgy.San Benito,Alaminos,Laguna Along Maharlika National Highway San Benito, Alaminos",4.31,3.0,2.0,85.0,89.0,San Benito,Alaminos,Laguna
"Governor's Dr, 4114 Dasmarinas, Philippines Paliparan II, Dasmarinas",10.65,4.0,3.0,115.0,121.0,Paliparan II,Dasmariñas,Cavite
"Sta. Maria-Pandi Rd, Pandi, Philippines Poblacion, Pandi",2.27,2.0,1.0,40.0,44.0,Poblacion,Pandi,Bulacan
"Sampaloc II, Dasmarinas",10.9,3.0,4.0,103.0,168.0,Sampaloc II,Dasmariñas,Cavite
"San Pedro, San Pablo",10.13,3.0,2.0,100.0,212.0,,San Pablo City,Laguna
"Almanza Dos, Las Pinas",22.68,3.0,3.0,161.0,120.0,Almanza Dos,Las Piñas,Metro Manila
"Molino III, Bacoor",15.0,5.0,3.0,174.0,160.0,Molino III,Bacoor,Cavite
"Royale Tagaytay Estates, Cavite Buck Estate, Alfonso",25.0,4.0,4.0,280.0,317.0,Buck Estate,Alfonso,Cavite
"Paliparan II, Dasmarinas",9.91,3.0,2.0,98.0,121.0,Paliparan II,Dasmariñas,Cavite
"Governor's Dr, 4114 Dasmarinas, Philippines Paliparan II, Dasmarinas",14.91,5.0,3.0,166.0,169.0,Paliparan II,Dasmariñas,Cavite
"Governor's Dr, 4114 Dasmarinas, Philippines Paliparan II, Dasmarinas",7.09,2.0,2.0,53.0,99.0,Paliparan II,Dasmariñas,Cavite
"Calaboon, Dumanjug",50.0,4.0,5.0,,1000.0,Calaboon,Dumanjug,Cebu
"Binan, Binan",11.5,3.0,2.0,118.0,90.0,,Biñan,Laguna
"Phirst Park Homes Calauan, Laguna, Philippines Masiit, Calauan",,1.0,1.0,41.0,36.0,Masiit,Calauan,Laguna
"Llano Road Llano, Caloocan",4.5,3.0,2.0,77.0,80.0,167,Caloocan,Metro Manila
"Pamplona Tres, Las Pinas",17.5,5.0,4.0,160.0,91.5,Pamplona Tres,Las Piñas,Metro Manila
"Manibaug Paralaya, Porac",2.29,3.0,1.0,62.5,50.0,Manibaug Paralaya,Porac,Pampanga
"Stone Bridge Estates Mabuhay, Carmona",5.0,3.0,2.0,85.0,80.0,Mabuhay,Carmona,Cavite
"Diliman, Quezon City",42.5,5.0,5.0,500.0,126.0,Diliman,Quezon City,Metro Manila
"Citta Italia Roma, Bacoor Cavite Molino III, Bacoor",13.5,5.0,3.0,174.0,160.0,Molino III,Bacoor,Cavite
"Santiago, General Trias, Calabarzon, Philippines Santiago, General Trias",4.0,3.0,2.0,54.0,80.0,Santiago,General Trias,Cavite
"PHirst Park Homes Lipa Cove, San Lucas, Lipa, Batangas, Philippines San Lucas, Lipa",1.66,2.0,1.0,36.0,40.0,San Lucas,Lipa City,Batangas
"Governor's Dr, 4114 Dasmarinas, Philippines Paliparan II, Dasmarinas",14.37,5.0,3.0,142.0,168.0,Paliparan II,Dasmariñas,Cavite
"Cenacle Rd, 1128 Quezon City, Philippines Culiat, Quezon City",19.5,5.0,4.0,312.0,94.0,Culiat,Quezon City,Metro Manila
"Cenacle Rd, 1128 Quezon City, Philippines Culiat, Quezon City",19.5,5.0,4.0,312.0,94.0,Culiat,Quezon City,Metro Manila
"Almanza Dos, Las Pinas",150.0,3.0,4.0,600.0,375.0,Almanza Dos,Las Piñas,Metro Manila
"Bambang, Taguig",35.0,4.0,2.0,310.0,105.0,Bambang,Taguig,Metro Manila
"San Isidro, Cainta",13.9,4.0,4.0,143.0,182.0,San Isidro,Cainta,Rizal
"McKinley Hill, Taguig",112.0,5.0,6.0,642.0,288.0,Mckinley Hill,Taguig,Metro Manila
"Silangan, San Mateo",19.1,3.0,3.0,113.0,295.0,Silangan,San Mateo,Rizal
"Buenavista, Pagadian City, Zamboanga Peninsula, Philippines Buenavista, Pagadian",0.3,3.0,2.0,80.0,100.0,Buenavista,Pagadian City,Zamboanga del Sur
"Mabuhay, Carmona",5.68,3.0,2.0,90.0,88.0,Mabuhay,Carmona,Cavite
"Catalunan Pequeno, Davao",1.5,2.0,1.0,30.0,77.0,Talomo,Davao City,Davao del Sur
"San Luis Village, Baguio City, Cordillera Administrative Region, Philippines San Luis Village, Baguio",10.0,5.0,3.0,,250.0,San Luis Village,Baguio,Benguet
"San Isidro, Antipolo",5.97,3.0,2.0,64.0,60.0,San Isidro,Antipolo,Rizal
"Bacayan, Cebu",10.5,4.0,3.0,199.0,143.0,Bacayan,Cebu City,Cebu
"Brgy Pasong Buaya II Imus Cavite Daang Hari Pasong Buaya II, Imus",11.6,3.0,2.0,67.0,132.0,Pasong Buaya II,Imus,Cavite
"Pampanga, Davao",13.8,,5.0,623.0,1128.0,Buhangin,Davao City,Davao del Sur
"Tuyo, Balanga",2.9,2.0,1.0,40.0,66.0,Tuyo,Balanga City,Bataan
Silang,16.8,3.0,3.0,165.0,119.0,,Silang,Cavite
"Capaya, Angeles",12.0,4.0,4.0,180.0,120.0,Capaya,Angeles,Pampanga
"Pakigne, Minglanilla",13.6,3.0,3.0,318.0,1200.0,Pakigne,Minglanilla,Cebu
"San Fernando Pampanga Telabastagan, San Fernando",29.9,5.0,5.0,650.0,540.0,Telabastagan,San Fernando,Pampanga
"Telabastagan, San Fernando",25.0,5.0,4.0,250.0,520.0,Telabastagan,San Fernando,Pampanga
"South Drive, Baguio",45.0,4.0,5.0,518.0,144.0,,Baguio,Benguet
Calatagan,12.0,8.0,,,25000.0,,Calatagan,Batangas
"B.F. Homes, Paranaque",17.5,4.0,3.0,160.0,204.0,B. F. Homes,Parañaque,Metro Manila
"Lamac, Consolacion",12.5,4.0,3.0,227.0,209.0,Lamac,Consolacion,Cebu
"Alfonso, Concepcion",3.69,4.0,3.0,122.94,112.5,Alfonso,Concepcion,Tarlac
"A. Ponciano St, 1441 Valenzuela, Philippines Marulas, Valenzuela",9.2,3.0,3.0,120.0,65.0,Marulas,Valenzuela,Metro Manila
"Catalunan Grande, Davao",14.2,4.0,4.0,200.0,332.0,Talomo,Davao City,Davao del Sur
Caloocan,4.5,3.0,1.0,96.0,,,Caloocan,Metro Manila
"Don Bosco, Paranaque",23.5,5.0,4.0,276.0,215.0,Don Bosco,Parañaque,Metro Manila
"Fairview, Quezon City",5.71,3.0,3.0,116.0,43.0,Fairview,Quezon City,Metro Manila
"Loyola Heights, Quezon City",98.0,6.0,5.0,350.0,1000.0,Loyola Heights,Quezon City,Metro Manila
"Matandang Balara, Quezon City",85.0,4.0,5.0,600.0,587.0,Matandang Balara,Quezon City,Metro Manila
"Sindalan, San Fernando",6.06,4.0,3.0,150.0,164.0,Sindalan,San Fernando,Pampanga
"Dapdap, Mabalacat",1.6,3.0,1.0,45.0,40.25,Dapdap,Mabalacat City,Pampanga
"Marauoy, Lipa",10.21,4.0,3.0,172.0,165.0,Marauoy,Lipa City,Batangas
"B.F. Homes, Paranaque",26.0,4.0,3.0,256.0,280.0,B. F. Homes,Parañaque,Metro Manila
"DECA HOME CLARK RESIDENCES, MARGOT ANGELES PAMPANGA Margot, Angeles",2.8,2.0,2.0,140.0,70.0,Barangay Margot,Angeles,Pampanga
"Banilad, Cebu",65.0,6.0,8.0,918.0,566.0,Banilad,Cebu City,Cebu
"Kamuning, Quezon City",13.0,5.0,4.0,170.0,60.0,Kamuning,Quezon City,Metro Manila
"Amsic, Angeles",25.0,5.0,5.0,246.0,289.0,Amsic,Angeles,Pampanga
"Asin Road, Baguio",60.0,4.0,5.0,310.0,537.0,,Baguio,Benguet
"Linao, Talisay, Central Visayas, Philippines Linao, Talisay",14.8,5.0,4.0,227.0,420.0,Linao,Talisay,Cebu
"Lantic, Carmona",5.23,4.0,2.0,104.0,100.0,Lantic,Carmona,Cavite
"Culiat, Quezon City",12.5,4.0,4.0,140.0,78.0,Culiat,Quezon City,Metro Manila
"Maple St., St. Jude Subd., Malinta, 1440 Valenzuela, Philippines Malinta, Valenzuela",9.5,5.0,4.0,120.0,60.0,Malinta,Valenzuela,Metro Manila
"Ayala Alabang, Muntinlupa",170.0,6.0,5.0,750.0,574.0,New Alabang Village,Muntinlupa,Metro Manila
"Dontogan, Baguio",27.0,5.0,2.0,350.0,180.0,Dontogan,Baguio,Benguet
"San Isidro, Paranaque",8.8,4.0,3.0,190.0,105.0,San Isidro,Parañaque,Metro Manila
"Sabang, Naic, Calabarzon, Philippines Sabang, Naic",1.46,2.0,1.0,45.5,54.0,sabang,Naic,Cavite
"B.F. Homes, Paranaque",16.5,3.0,3.0,200.0,150.0,B. F. Homes,Parañaque,Metro Manila
"Ayala Alabang, Muntinlupa",400.0,5.0,5.0,1000.0,855.0,New Alabang Village,Muntinlupa,Metro Manila
"Sindalan, San Fernando",7.05,4.0,3.0,135.0,164.0,Sindalan,San Fernando,Pampanga
"B.F. Homes, Paranaque",21.0,4.0,4.0,260.0,189.0,B. F. Homes,Parañaque,Metro Manila
"Along Governor Ferrer Drive Pasong Kawayan I, General Trias",2.9,3.0,2.0,60.75,69.0,Pasong Kawayan I,General Trias,Cavite
"Ayala Alabang, Muntinlupa",200.0,4.0,4.0,1200.0,690.0,New Alabang Village,Muntinlupa,Metro Manila
"Valle Verde 1, Pasig",45.0,3.0,3.0,170.0,150.0,Valle Verde 1,Pasig,Metro Manila
"Culiat, Quezon City",12.0,4.0,4.0,220.0,85.0,Culiat,Quezon City,Metro Manila
"Concepcion Dos, Marikina",19.5,4.0,3.0,200.0,373.0,Concepcion Dos,Marikina,Metro Manila
"Telabastagan, San Fernando",8.3,3.0,2.0,135.0,150.0,Telabastagan,San Fernando,Pampanga
"Bahay Toro, Quezon City, National Capital Region, Philippines Project 8, Quezon City",16.5,4.0,3.0,214.0,86.0,Project 8,Quezon City,Metro Manila
"Matandang Balara, Quezon City",160.0,6.0,5.0,800.0,1000.0,Matandang Balara,Quezon City,Metro Manila
"Cabalantian, Bacolor",6.43,4.0,3.0,151.0,182.0,Cabalantian,Bacolor,Pampanga
Muntinlupa,185.0,,,,,,Muntinlupa,Metro Manila
"Tungkong Mangga, San Jose del Monte",20.0,3.0,6.0,300.0,250.0,Tungkong Mangga,San Jose del Monte,Bulacan
"Tagbuane, Alburquerque",5.4,3.0,2.0,250.0,1529.0,Tagbuane,Alburquerque,Bohol
"Capaya, Angeles",8.2,3.0,3.0,170.0,120.0,Capaya,Angeles,Pampanga
"Savannah Abilay Norte, Oton",15.84,5.0,3.0,166.0,143.0,Abilay Norte,Oton,Iloilo
"Pasong Buaya II, Imus",13.0,4.0,3.0,117.0,281.0,Pasong Buaya II,Imus,Cavite
"Cupang, Muntinlupa",56.0,4.0,4.5,400.0,375.0,Cupang,Muntinlupa,Metro Manila
"Marang Amparo Caloocan City Amparo, Caloocan",5.34,3.0,2.0,83.0,53.0,Brgy 179,Caloocan,Metro Manila
"San Gregorio, Laurel",26.5,5.0,5.0,650.0,430.0,San Gregorio,Laurel,Batangas
"C. Salvador Loyola Heights, Quezon City",49.0,4.0,3.0,350.0,240.0,Loyola Heights,Quezon City,Metro Manila
"Canlubang, Calamba",34.0,4.0,4.0,302.0,250.0,Canlubang,Calamba,Laguna
"Bel-Air Residences, Marauoy, Lipa City, Batangas, Philippines Marauoy, Lipa",8.21,3.0,3.0,165.0,139.0,Maraouy,Lipa City,Batangas
San Fernando,6.6,4.0,3.0,160.0,128.0,,San Fernando,Pampanga
"Canlubang, Calamba",5.0,3.0,2.0,60.0,50.6,Canlubang,Calamba,Laguna
"Santol, Tanza",2.92,3.0,1.0,50.0,63.0,Santol,Tanza,Cavite
"Burot, Tarlac",1.75,3.0,1.0,42.0,48.0,Burot,Tarlac City,Tarlac
"Telabastagan, San Fernando",45.0,6.0,7.0,537.0,900.0,Telabastagan,San Fernando,Pampanga
"San Roque, Antipolo",13.25,4.0,3.0,93.0,112.0,San Roque,Antipolo,Rizal
"Lapidario Rd, 4109 Trece Martires City, Philippines Lapidario, Trece Martires",3.11,2.0,2.0,57.0,50.0,Lapidario,Trece Martires City,Cavite
"Talisay, Estefania, Bacolod City, Negros Occidental Matab-Ang, Talisay",11.13,4.0,3.0,192.0,180.0,Estefania,Bacolod,Negros Occidental
"Cabilang Baybay, Carmona",105.0,5.0,5.0,565.0,915.0,Cabilang Baybay,Carmona,Cavite
"Cenacle Rd, 1128 Quezon City, Philippines Culiat, Quezon City",19.5,5.0,4.0,312.0,98.0,Culiat,Quezon City,Metro Manila
"Rosepointe Tagapo, Santa Rosa",5.45,3.0,1.0,102.0,80.0,Tagapo,City of Santa Rosa,Laguna
"Cupang, Muntinlupa",56.0,4.0,4.0,400.0,375.0,Cupang,Muntinlupa City,Metro Manila
"Inchican, Silang",55.0,5.0,,530.0,410.0,Inchican,Silang,Cavite
"Mabiga, Mabalacat",2.71,3.0,3.0,99.0,66.0,Mabiga,Mabalacat City,Pampanga
"Pulang Lupa Uno, Las Pinas",5.98,3.0,2.0,95.0,58.0,Pulang Lupa Uno,Las Piñas,Metro Manila
"Cubcub, Capas",5.89,3.0,2.0,98.0,198.0,Cubcub,Capas,Tarlac
"Cubcub, Capas",5.89,3.0,2.0,98.0,198.0,Cubcub,Capas,Tarlac
"Ayala Alabang, Muntinlupa",150.0,4.0,4.0,500.0,550.0,New Alabang Village,Muntinlupa,Metro Manila
